label,wall_mean_s,cpu_user_s,cpu_sys_s,peak_rss_kib,out_bytes
A_clumpify_c1_m1G,124.28782756237999,1521.70,12.96,695512,5268471124
A_clumpify_c1_m2G,199.70875212445998,1669.99,18.45,1649944,4848587673
A_clumpify_c1_m4G,257.10454328192003,1761.71,34.43,3617248,4574195564
A_clumpify_c1_m8G,268.40902350846,1722.77,45.53,7525240,4386735322
A_clumpify_c1_m16G,279.96685907266,1684.26,70.85,13057044,4256963047
B_clumpify_c1_m1G,125.04895586194,1529.30,12.76,623292,5268471124
B_clumpify_c2_m1G,126.5354947976,1542.55,12.50,630956,5125753198
B_clumpify_c3_m1G,131.61306627092,1715.23,13.27,760276,4881002986
B_clumpify_c4_m1G,127.35948044343999,1702.19,11.89,707924,4632370790
B_clumpify_c5_m1G,135.86122272556,1980.08,13.10,736172,4390165911
B_clumpify_c6_m1G,146.8481606532,2663.34,14.14,720928,4214946363
B_clumpify_c7_m1G,174.39405027284,3334.94,13.67,904560,4105173658
B_clumpify_c8_m1G,291.41079362996,5184.93,16.06,972096,4054282826
B_clumpify_c9_m1G,318.72988369458,5647.63,15.71,995020,4051081616
C_plain_c1,77.36952692848,1256.69,10.55,92228,5566989514
C_plain_c2,83.86974771042,1351.08,10.68,73484,5371933138
C_plain_c3,81.98416491736,1521.84,8.55,92072,5100731110
C_plain_c4,77.55457449632,1467.01,8.85,92992,4934758055
C_plain_c5,98.30737219602,1821.83,8.93,104300,4686054847
C_plain_c6,158.28731594352,2754.26,8.65,91228,4411292795
C_plain_c7,226.84842174286,3859.36,9.56,84140,4322483883
C_plain_c8,440.06460089176,7244.29,8.21,87912,4251203427
C_plain_c9,475.44207670612,7810.77,9.26,86384,4246708407
